order_id,quarter,month,date,product,category,quantity,unit_price,region,salesperson,total_amount
1001,1,1,2024-01-05,Laptop,Electronics,2,55000,North,Ravi,110000
1002,1,1,2024-01-12,Phone,Electronics,5,22000,South,Priya,110000
1003,1,2,2024-02-03,Tablet,Electronics,3,18000,East,Arjun,54000
1004,1,2,2024-02-18,Laptop,Electronics,1,55000,West,Sneha,55000
1005,1,3,2024-03-07,Headphones,Accessories,10,2500,North,Ravi,25000
1006,1,3,2024-03-22,Phone,Electronics,4,22000,South,Priya,88000
1007,2,4,2024-04-01,Monitor,Electronics,2,12000,East,Arjun,24000
1008,2,4,2024-04-15,Tablet,Electronics,6,18000,West,Sneha,108000
1009,2,5,2024-05-09,Keyboard,Accessories,15,800,North,Ravi,12000
1010,2,5,2024-05-28,Laptop,Electronics,1,55000,South,Priya,55000
1011,2,6,2024-06-04,Phone,Electronics,8,22000,East,Arjun,176000
1012,2,6,2024-06-19,Headphones,Accessories,12,2500,West,Sneha,30000
1013,3,7,2024-07-11,Monitor,Electronics,3,12000,North,Ravi,36000
1014,3,7,2024-07-25,Keyboard,Accessories,20,800,South,Priya,16000
1015,3,8,2024-08-03,Tablet,Electronics,4,18000,East,Arjun,72000
1016,3,8,2024-08-17,Laptop,Electronics,2,55000,West,Sneha,110000
1017,3,9,2024-09-06,Phone,Electronics,6,22000,North,Ravi,132000
1018,3,9,2024-09-21,Monitor,Electronics,1,12000,South,Priya,12000
1019,4,10,2024-10-14,Headphones,Accessories,9,2500,East,Arjun,22500
1020,4,11,2024-11-02,Keyboard,Accessories,25,800,West,Sneha,20000
