order_id,date,product,category,quantity,unit_price,region,salesperson,total_amount
1001,2024-01-05,Laptop,Electronics,2,55000,North,Ravi,110000
1002,2024-01-12,Phone,Electronics,5,22000,South,Priya,110000
1003,2024-02-03,Tablet,Electronics,3,18000,East,Arjun,54000
1004,2024-02-18,Laptop,Electronics,1,55000,West,Sneha,55000
1005,2024-03-07,Headphones,Accessories,10,2500,North,Ravi,25000
1006,2024-03-22,Phone,Electronics,4,22000,South,Priya,88000
1007,2024-04-01,Monitor,Electronics,2,12000,East,Arjun,24000
1008,2024-04-15,Tablet,Electronics,6,18000,West,Sneha,108000
1009,2024-05-09,Keyboard,Accessories,15,800,North,Ravi,12000
1010,2024-05-28,Laptop,Electronics,1,55000,South,Priya,55000
1011,2024-06-04,Phone,Electronics,8,22000,East,Arjun,176000
1012,2024-06-19,Headphones,Accessories,12,2500,West,Sneha,30000
1013,2024-07-11,Monitor,Electronics,3,12000,North,Ravi,36000
1014,2024-07-25,Keyboard,Accessories,20,800,South,Priya,16000
1015,2024-08-03,Tablet,Electronics,4,18000,East,Arjun,72000
1016,2024-08-17,Laptop,Electronics,2,55000,West,Sneha,110000
1017,2024-09-06,Phone,Electronics,6,22000,North,Ravi,132000
1018,2024-09-21,Monitor,Electronics,1,12000,South,Priya,12000
1019,2024-10-14,Headphones,Accessories,9,2500,East,Arjun,22500
1020,2024-11-02,Keyboard,Accessories,25,800,West,Sneha,20000
